Problem | Steps | Total Time (seconds)
p001.pddl |        6 | 0.03
p002.pddl |       10 | 0.03
p003.pddl |        6 | 0.03
p004.pddl |       12 | 0.03
p005.pddl |       10 | 0.03
p006.pddl |       16 | 0.03
p007.pddl |       12 | 0.03
p008.pddl |       10 | 0.04
p009.pddl |       20 | 0.08
p010.pddl |       20 | 0.07
