Problem | Steps | Total Time (seconds)
p01.pddl |       47 | 0.23
p02.pddl |       37 | 0.22
p03.pddl |       38 | 0.21
p04.pddl |       44 | 0.22
p05.pddl |       42 | 0.22
p06.pddl |       12 | 0.13
p07.pddl |       41 | 0.23
p08.pddl |       32 | 0.25
p09.pddl |       35 | 0.25
p10.pddl |       52 | 0.23
